run,duration_s,throughput_pps,sent,received,lost
1,5.005207,799.17,4000,4000,0
2,5.005096,799.19,4000,4000,0
3,5.005155,799.18,4000,4000,0
4,5.005113,799.18,4000,4000,0
5,5.005087,799.19,4000,4000,0
6,5.005101,799.18,4000,4000,0
7,5.005116,799.18,4000,4000,0
8,5.005106,799.18,4000,4000,0
9,5.005092,799.19,4000,4000,0
10,5.005086,799.19,4000,4000,0
11,5.005123,799.18,4000,4000,0
12,5.005124,799.18,4000,4000,0
13,5.005164,799.17,4000,4000,0
14,5.005132,799.18,4000,4000,0
15,5.005122,799.18,4000,4000,0
16,5.005141,799.18,4000,4000,0
17,5.005102,799.18,4000,4000,0
18,5.005139,799.18,4000,4000,0
19,5.005129,799.18,4000,4000,0
20,5.005076,799.19,4000,4000,0
21,5.005086,799.19,4000,4000,0
22,5.005124,799.18,4000,4000,0
23,5.005080,799.19,4000,4000,0
24,5.005134,799.18,4000,4000,0
25,5.005163,799.17,4000,4000,0
26,5.005086,799.19,4000,4000,0
27,5.005152,799.18,4000,4000,0
28,5.005149,799.18,4000,4000,0
29,5.005161,799.18,4000,4000,0
30,5.005152,799.18,4000,4000,0
31,5.005146,799.18,4000,4000,0
32,5.005125,799.18,4000,4000,0
33,5.005110,799.18,4000,4000,0
34,5.005085,799.19,4000,4000,0
35,5.005108,799.18,4000,4000,0
36,5.005082,799.19,4000,4000,0
37,5.005100,799.18,4000,4000,0
38,5.005090,799.19,4000,4000,0
39,5.005236,799.16,4000,4000,0
40,5.005090,799.19,4000,4000,0
41,5.005097,799.19,4000,4000,0
42,5.005062,799.19,4000,4000,0
43,5.005123,799.18,4000,4000,0
44,5.005108,799.18,4000,4000,0
45,5.005118,799.18,4000,4000,0
46,5.005075,799.19,4000,4000,0
47,5.005131,799.18,4000,4000,0
48,5.005102,799.18,4000,4000,0
49,5.005129,799.18,4000,4000,0
50,5.005072,799.19,4000,4000,0
